job_id,asset_id,section_id,asset_type,job_type,estimated_duration_min,block_type,asset_age_years,past_failures,current_condition_score,last_maintained_days_ago,traffic_load_trains_per_day
JOB0001,AST0042,SEC04,S&T (Points/Crossing),S&T - Point Machine Overhaul,78,Line Block,29.1,1.0,51.7,212.0,91.0
JOB0002,AST0038,SEC04,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,104,Line Block,0.7,3.0,38.4,599.0,187.0
JOB0003,AST0053,SEC05,Signal,Signal - Relay/Cable Maintenance,102,Line Block,14.7,2.0,34.3,184.0,138.0
JOB0004,AST0057,SEC05,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,136,Power Block,32.2,1.0,71.5,708.0,64.0
JOB0005,AST0037,SEC04,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,135,Line Block,30.2,1.0,80.4,350.0,197.0
JOB0006,AST0054,SEC05,S&T (Points/Crossing),S&T - Point Machine Overhaul,48,Line Block,13.2,2.0,30.0,336.0,61.0
JOB0007,AST0056,SEC05,S&T (Points/Crossing),S&T - Point Machine Overhaul,46,Line Block,21.2,0.0,13.3,67.0,20.0
JOB0008,AST0043,SEC04,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,100,Line Block,8.8,0.0,35.4,414.0,89.0
JOB0009,AST0032,SEC04,Signal,Signal - Relay/Cable Maintenance,81,Line Block,12.0,2.0,43.0,252.0,184.0
JOB0010,AST0048,SEC05,S&T (Points/Crossing),S&T - Point Machine Overhaul,75,Line Block,24.7,1.0,70.7,505.0,120.0
JOB0011,AST0045,SEC05,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,137,Power Block,30.3,2.0,34.1,169.0,152.0
JOB0012,AST0059,SEC06,Signal,Signal - Relay/Cable Maintenance,90,Line Block,31.8,3.0,69.7,708.0,165.0
JOB0013,AST0051,SEC05,Signal,Signal - Relay/Cable Maintenance,95,Line Block,7.2,3.0,53.1,700.0,106.0
JOB0014,AST0067,SEC06,Signal,Signal - Relay/Cable Maintenance,84,Line Block,18.8,2.0,46.3,652.0,107.0
JOB0015,AST0035,SEC04,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,127,Power Block,2.3,2.0,81.4,571.0,56.0
JOB0016,AST0060,SEC06,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,76,Line Block,8.6,3.0,47.8,571.0,130.0
JOB0017,AST0004,SEC01,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,103,Line Block,6.9,2.0,72.4,344.0,153.0
JOB0018,AST0006,SEC01,S&T (Points/Crossing),S&T - Point Machine Overhaul,52,Line Block,6.9,2.0,31.0,185.0,25.0
JOB0019,AST0011,SEC01,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,84,Power Block,16.8,2.0,20.6,566.0,47.0
JOB0020,AST0050,SEC05,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,167,Line Block,26.2,5.0,68.6,707.0,144.0
JOB0021,AST0033,SEC04,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,98,Power Block,5.7,4.0,19.2,673.0,72.0
JOB0022,AST0028,SEC03,S&T (Points/Crossing),S&T - Point Machine Overhaul,35,Line Block,13.6,1.0,66.8,117.0,200.0
JOB0023,AST0012,SEC01,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,94,Power Block,37.6,4.0,38.4,704.0,212.0
JOB0024,AST0013,SEC01,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,157,Line Block,37.1,1.0,34.7,500.0,190.0
JOB0025,AST0029,SEC03,S&T (Points/Crossing),S&T - Point Machine Overhaul,57,Line Block,24.6,3.0,85.6,370.0,91.0
JOB0026,AST0003,SEC01,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,141,Line Block,38.8,2.0,49.4,447.0,46.0
JOB0027,AST0031,SEC03,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,81,Power Block,15.2,2.0,52.2,49.0,113.0
JOB0028,AST0018,SEC02,S&T (Points/Crossing),S&T - Point Machine Overhaul,36,Line Block,11.3,1.0,84.1,277.0,145.0
JOB0029,AST0014,SEC02,S&T (Points/Crossing),S&T - Point Machine Overhaul,87,Line Block,32.2,3.0,17.6,331.0,43.0
JOB0030,AST0070,SEC06,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,129,Power Block,17.8,0.0,57.3,116.0,184.0
JOB0031,AST0024,SEC03,Signal,Signal - Relay/Cable Maintenance,48,Line Block,34.4,2.0,72.2,641.0,196.0
JOB0032,AST0046,SEC05,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,120,Line Block,33.8,1.0,33.8,356.0,83.0
JOB0033,AST0001,SEC01,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,77,Line Block,10.7,1.0,48.1,93.0,55.0
JOB0034,AST0069,SEC06,Track (Rail/Ballast),Engineering - Track Renewal/Tamping,109,Line Block,15.1,2.0,62.9,39.0,191.0
JOB0035,AST0047,SEC05,S&T (Points/Crossing),S&T - Point Machine Overhaul,31,Line Block,5.0,2.0,71.1,338.0,185.0
JOB0036,AST0061,SEC06,OHE (Overhead Equipment),Electrical - OHE Inspection/Repair,110,Power Block,29.7,3.0,78.0,266.0,88.0
JOB0037,AST0023,SEC03,Signal,Signal - Relay/Cable Maintenance,68,Line Block,10.8,0.0,31.6,130.0,210.0
JOB0038,AST0027,SEC03,S&T (Points/Crossing),S&T - Point Machine Overhaul,47,Line Block,25.0,1.0,50.6,469.0,181.0
